t_wall,strategy,theta,instance,family,value,seconds,status,detail
216.9,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 58 --min_fr=0.98 -t 30,BR14,95.032998,31.68,ok,
217.9,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 47 --min_fr=0.98 -t 30,BR15,95.112906,32.76,ok,
245.5,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 20 --min_fr=1.0 -t 30,BR7,95.989943,30.12,ok,
245.8,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 35 --min_fr=1.0 -t 30,BR6,96.213379,30.12,ok,
246.3,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 9 --min_fr=1.0 -t 30,BR3,96.277394,30.24,ok,
246.3,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 95 --min_fr=1.0 -t 30,BR5,96.542303,30.37,ok,
246.6,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 40 --min_fr=0.98 -t 30,BR10,95.473602,31.29,ok,
246.8,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 39 --min_fr=0.98 -t 30,BR13,94.864498,30.88,ok,
247.0,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 69 --min_fr=1.0 -t 30,BR4,95.723336,30.10,ok,
277.1,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 27 --min_fr=1.0 -t 30,BR1,94.800705,30.13,ok,
277.2,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 76 --min_fr=1.0 -t 30,BR2,96.631596,30.19,ok,
277.5,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 93 --min_fr=0.98 -t 30,BR8,96.065088,30.51,ok,
277.7,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 51 --min_fr=0.98 -t 30,BR11,94.820822,30.74,ok,
277.8,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 79 --min_fr=0.98 -t 30,BR12,94.532417,30.80,ok,
