t_wall,strategy,theta,instance,family,value,seconds,status,detail
5.5,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 93 --min_fr=0.98 -t 30,BR8,94.953339,5.49,ok,
11.2,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 79 --min_fr=0.98 -t 30,BR12,93.381930,5.76,ok,
17.0,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 59 --min_fr=0.98 -t 30,BR9,95.108762,5.76,ok,
24.7,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 47 --min_fr=0.98 -t 30,BR15,94.164393,7.72,ok,
30.5,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 51 --min_fr=0.98 -t 30,BR11,94.544035,5.72,ok,
35.5,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 27 --min_fr=1.0 -t 30,BR1,93.521427,5.08,ok,
40.7,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 76 --min_fr=1.0 -t 30,BR2,96.370277,5.19,ok,
47.3,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 58 --min_fr=0.98 -t 30,BR14,94.388041,6.59,ok,
53.5,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 40 --min_fr=0.98 -t 30,BR10,93.963908,6.23,ok,
58.6,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 47 --min_fr=1.0 -t 30,BR7,95.194456,5.08,ok,
64.1,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 93 --min_fr=0.98 -t 30,BR8,95.122481,5.49,ok,
69.9,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 79 --min_fr=0.98 -t 30,BR12,93.522029,5.75,ok,
75.6,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 59 --min_fr=0.98 -t 30,BR9,95.090014,5.77,ok,
83.3,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 47 --min_fr=0.98 -t 30,BR15,94.398125,7.71,ok,
89.1,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 51 --min_fr=0.98 -t 30,BR11,94.748432,5.73,ok,
94.1,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 27 --min_fr=1.0 -t 30,BR1,95.809439,5.07,ok,
99.3,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 76 --min_fr=1.0 -t 30,BR2,95.894445,5.19,ok,
105.9,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 58 --min_fr=0.98 -t 30,BR14,94.157613,6.60,ok,
112.2,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 40 --min_fr=0.98 -t 30,BR10,94.575189,6.24,ok,
117.2,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 47 --min_fr=1.0 -t 30,BR7,94.370564,5.08,ok,
122.6,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 93 --min_fr=1.0 -t 30,BR6,96.003017,5.24,ok,
128.4,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 39 --min_fr=0.98 -t 30,BR13,93.933420,5.86,ok,
133.5,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 8 --min_fr=1.0 -t 30,BR5,95.978401,5.11,ok,
138.7,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 30 --min_fr=1.0 -t 30,BR3,96.028870,5.14,ok,
143.8,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 69 --min_fr=1.0 -t 30,BR4,95.516401,5.08,ok,
149.4,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 96 --min_fr=0.98 -t 30,BR8,93.930984,5.64,ok,
155.1,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 41 --min_fr=0.98 -t 30,BR12,93.613931,5.74,ok,
161.0,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 4 --min_fr=0.98 -t 30,BR9,94.728843,5.85,ok,
167.6,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 46 --min_fr=0.98 -t 30,BR15,93.837340,6.58,ok,
173.5,bsg,a=8.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 36 --min_fr=0.98 -t 30,BR11,94.071118,5.92,ok,
178.8,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 93 --min_fr=1.0 -t 30,BR6,95.427855,5.24,ok,
184.7,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 39 --min_fr=0.98 -t 30,BR13,94.087154,5.87,ok,
189.8,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 8 --min_fr=1.0 -t 30,BR5,96.088824,5.12,ok,
194.9,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 30 --min_fr=1.0 -t 30,BR3,96.622869,5.14,ok,
200.0,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 69 --min_fr=1.0 -t 30,BR4,95.195885,5.08,ok,
205.6,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 96 --min_fr=0.98 -t 30,BR8,94.170910,5.64,ok,
211.4,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 41 --min_fr=0.98 -t 30,BR12,93.460752,5.74,ok,
217.2,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 4 --min_fr=0.98 -t 30,BR9,94.529924,5.84,ok,
223.8,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 46 --min_fr=0.98 -t 30,BR15,93.616789,6.57,ok,
229.7,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 36 --min_fr=0.98 -t 30,BR11,94.352966,5.90,ok,
234.8,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 5 --min_fr=1.0 -t 30,BR1,95.047661,5.08,ok,
239.9,bsg,a=4.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 13 --min_fr=1.0 -t 30,BR2,96.010584,5.04,ok,
