runs,likelihood,depth,output
210,0.8947368421052632,17,"(4.0, 2.0, 0.3, 0.01)"
235,0.9166666666666666,17,"(4.0, 2.0, 0.3, 0.01)"
260,0.99,17,"(4.0, 2.0, 0.3, 0.01)"
