runs,likelihood,depth,output
6180,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6205,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6230,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6255,0.16666666666666666,17,"(4.0, 2.0, 0.3, 0.01)"
6280,0.0,15,"(4.0, 2.0, 0.3, 0.01)"
6305,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
6330,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
6355,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
6380,0.11764705882352941,17,"(4.0, 2.0, 0.3, 0.01)"
6405,0.6875,17,"(4.0, 2.0, 0.3, 0.02)"
6430,0.5714285714285714,17,"(4.0, 2.0, 0.3, 0.02)"
6500,0.4608150470219436,17,"(4.0, 2.0, 0.4, 0.03)"
6525,0.3850746268656716,17,"(4.0, 2.0, 0.4, 0.03)"
6550,0.8739495798319328,17,"(4.0, 2.0, 0.4, 0.01)"
6575,0.6260623229461756,17,"(4.0, 2.0, 0.4, 0.02)"
6600,0.8138888888888889,17,"(4.0, 2.0, 0.4, 0.01)"
6625,0.8305084745762712,17,"(4.0, 2.0, 0.4, 0.01)"
6650,0.8273972602739726,17,"(4.0, 2.0, 0.4, 0.01)"
6675,0.8653846153846154,17,"(4.0, 2.0, 0.4, 0.01)"
6700,0.8365650969529086,17,"(4.0, 2.0, 0.4, 0.01)"
6725,0.8683473389355743,17,"(4.0, 2.0, 0.4, 0.01)"
6750,0.9695290858725761,17,"(4.0, 2.0, 0.4, 0.01)"
6775,0.9779005524861878,17,"(4.0, 2.0, 0.4, 0.01)"
6800,0.9833795013850416,17,"(4.0, 2.0, 0.4, 0.01)"
6825,0.9833795013850416,17,"(4.0, 2.0, 0.4, 0.01)"
6850,0.9893617021276596,17,"(4.0, 2.0, 0.4, 0.01)"
6875,0.8418230563002681,17,"(4.0, 2.0, 0.4, 0.01)"
6900,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
6925,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
6950,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
6975,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7000,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7025,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7050,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7075,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7100,0.9949874686716792,17,"(4.0, 2.0, 0.4, 0.01)"
7125,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7150,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7175,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7200,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7225,0.9974874371859297,17,"(4.0, 2.0, 0.4, 0.01)"
7250,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7275,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7300,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7325,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7350,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7375,0.9974811083123426,17,"(4.0, 2.0, 0.4, 0.01)"
7400,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7425,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7450,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7475,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7500,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7525,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7550,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7575,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7600,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7625,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7650,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7675,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7700,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
7725,0.995,17,"(4.0, 2.0, 0.4, 0.01)"
7750,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7775,0.9974937343358395,17,"(4.0, 2.0, 0.4, 0.01)"
7800,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
7825,0.9974937343358395,17,"(4.0, 2.0, 0.4, 0.01)"
7850,0.9874686716791979,17,"(4.0, 2.0, 0.4, 0.01)"
7875,0.9875,17,"(4.0, 2.0, 0.4, 0.01)"
7900,0.9949874686716792,17,"(4.0, 2.0, 0.4, 0.01)"
7925,0.99,17,"(4.0, 2.0, 0.4, 0.01)"
7950,0.9874686716791979,17,"(4.0, 2.0, 0.4, 0.01)"
7975,0.9798488664987406,17,"(4.0, 2.0, 0.4, 0.01)"
8000,0.975,17,"(4.0, 2.0, 0.4, 0.01)"
8025,0.995,17,"(4.0, 2.0, 0.4, 0.01)"
8050,0.985,17,"(4.0, 2.0, 0.4, 0.01)"
8075,0.975,17,"(4.0, 2.0, 0.4, 0.01)"
8100,0.99,17,"(4.0, 2.0, 0.4, 0.01)"
8125,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
8150,0.9875,17,"(4.0, 2.0, 0.4, 0.01)"
8175,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
8200,0.9925,17,"(4.0, 2.0, 0.4, 0.01)"
8225,0.9774436090225563,17,"(4.0, 2.0, 0.4, 0.01)"
8250,0.9774436090225563,17,"(4.0, 2.0, 0.4, 0.01)"
8275,0.9669211195928753,17,"(4.0, 2.0, 0.4, 0.01)"
8300,0.9974937343358395,17,"(4.0, 2.0, 0.4, 0.01)"
8325,0.992462311557789,17,"(4.0, 2.0, 0.4, 0.01)"
8350,0.9949748743718593,17,"(4.0, 2.0, 0.4, 0.01)"
8375,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
8400,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
8425,0.9949748743718593,17,"(4.0, 2.0, 0.4, 0.01)"
8450,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
8475,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
8500,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
8525,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
8535,0.9974874371859297,17,"(4.0, 2.0, 0.4, 0.01)"
8560,1.0,17,"(4.0, 2.0, 0.4, 0.01)"
8585,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
8610,0.9974937343358395,17,"(4.0, 2.0, 0.4, 0.01)"
8635,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
8660,0.9975,17,"(4.0, 2.0, 0.4, 0.01)"
8685,0.9899244332493703,17,"(4.0, 2.0, 0.4, 0.01)"
8710,0.98,17,"(4.0, 2.0, 0.4, 0.01)"
8735,0.9874371859296482,17,"(4.0, 2.0, 0.4, 0.01)"
8760,0.9723618090452262,17,"(4.0, 2.0, 0.4, 0.01)"
8785,0.9722222222222222,17,"(4.0, 2.0, 0.4, 0.01)"
8810,0.9949494949494949,17,"(4.0, 2.0, 0.4, 0.01)"
8835,0.9744245524296675,17,"(4.0, 2.0, 0.4, 0.01)"
8860,0.9822784810126582,17,"(4.0, 2.0, 0.4, 0.01)"
8885,0.9795918367346939,17,"(4.0, 2.0, 0.4, 0.01)"
8910,0.9745547073791349,17,"(4.0, 2.0, 0.4, 0.01)"
8935,0.9643765903307888,17,"(4.0, 2.0, 0.4, 0.01)"
8960,0.9716494845360825,17,"(4.0, 2.0, 0.4, 0.01)"
8985,0.9533678756476683,17,"(4.0, 2.0, 0.4, 0.01)"
9010,0.9568527918781726,17,"(4.0, 2.0, 0.4, 0.01)"
9035,0.9358974358974359,17,"(4.0, 2.0, 0.4, 0.01)"
9060,0.9767441860465116,17,"(4.0, 2.0, 0.4, 0.01)"
